2024-05-28T00:00:09.811+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:00:10.175+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:00:12.681+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:00:15.177+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:00:15.390+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:00:18.121+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:01:11.231+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:01:14.845+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=12)
2024-05-28T00:01:18.390+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=12)
2024-05-28T00:01:24.926+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=12)
2024-05-28T00:02:30.692+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:14.569+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:16.441+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:19.202+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:21.802+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:30.990+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:31.505+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:34.174+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:36.900+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:42.870+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:43.138+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:45.708+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:48.344+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:51.028+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:51.266+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:53.858+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:56.659+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:59.334+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:03:59.967+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:02.859+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:05.719+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:12.208+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:13.253+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:15.104+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:17.818+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:19.942+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:26.280+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:27.702+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:29.581+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
